Year;Make-model-year-fuel;Make;Model;Variant;Size segment;Fuel-size segment;No. of registrations;Shares;Prices (2015-DKK);Ownership cost (DKK);Weight (kg);Fuel;Engine effect (kW);Horsepower;Size (m3);Footprint (m�);Cost/km (DKK);fuelPrice (DKK/unit)
2006;toyota-avensis-2006-Benzin;toyota;avensis;1,8 STW MAN.;Small;BenzinSmall;5428;0.002156418;403349.2991;346885.2055;1820;Benzin;108;139.3076923;12.57344;8.223261538;0.813669065;11.31
2006;volkswagen-passat-2006-Diesel;volkswagen;passat;2,0 TDI;Large;DieselLarge;5378;0.002136554;378504.6729;352803.014;2170;Diesel;103;128.3333333;12.734904;8.657173611;0.681879195;10.16
2006;renault-clio-2006-Benzin;renault;clio;1,2 8V 60 HK;Small;BenzinSmall;4518;0.001794896;134344.6262;118899.0321;1425;Benzin;43;60;8.872728;6.2484;0.677245509;11.31
2006;suzuki-swift-2006-Benzin;suzuki;swift;1,5;Small;BenzinSmall;4406;0.001750401;163536.215;135059.8194;1475;Benzin;68;94;9.3795;6.253;0.734415584;11.31
2006;fiat-punto-2006-Benzin;fiat;punto;1,2;Small;BenzinSmall;3743;0.001487007;150287.3832;135188.4225;1590;Benzin;48;63.88888889;9.483248;6.392844444;0.689634146;11.31
2006;skoda-octavia-2006-Diesel;skoda;octavia;1,9 TDI;Small;DieselSmall;3577;0.001421059;294391.3551;273617.5776;2045;Diesel;103;115.1428571;11.809794;8.0889;0.615757576;10.16
2006;skoda-fabia-2006-Benzin;skoda;fabia;1,4 COMBI;Small;BenzinSmall;3421;0.001359084;179901.8692;163517.2438;1600;Benzin;74;71.5;10.09635;6.963;0.677245509;11.31
2006;toyota-corolla-2006-Benzin;toyota;corolla;1,6 STW.;Small;BenzinSmall;3302;0.001311808;381726.6355;328775.1436;1650;Benzin;81;103.5;11.31165;7.34445;0.813669065;11.31
2006;hyundai-getz-2006-Benzin;hyundai;getz;1,6;Small;BenzinSmall;2884;0.001145746;128478.972;100688.288;1500;Benzin;71;84.2;9.480423;6.358416;0.677245509;11.31
2006;peugeot-307-2006-Benzin;peugeot;307;2,0 I MPV;Large;BenzinLarge;2649;0.001052386;232900.7009;181603.9934;1950;Benzin;80;140;10.896512;7.697217751;0.87;11.31
2006;mazda-6-2006-Benzin;mazda;6;2,0 STATIONSCAR;Large;BenzinLarge;2599;0.001032522;327102.8037;238412.1495;1875;Benzin;108;147;12.021408;8.3482;0.9048;11.31
