,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,kmL
0,2006,0.002156418,Benzin,1820,108.0,403349.2991,toyota-avensis-2006-Benzin,12.3
1,2006,0.001750401,Benzin,1475,68.0,163536.215,suzuki-swift-2006-Benzin,15.4
2,2006,0.001487007,Benzin,1590,48.0,150287.3832,fiat-punto-2006-Benzin,17.5
3,2006,0.001421059,Diesel,2045,103.0,294391.3551,skoda-octavia-2006-Diesel,19.6
4,2006,0.001359084,Benzin,1600,74.0,179901.8692,skoda-fabia-2006-Benzin,16.7
5,2006,0.001311808,Benzin,1650,81.0,381726.6355,toyota-corolla-2006-Benzin,14.9
6,2006,0.001145746,Benzin,1500,71.0,128478.972,hyundai-getz-2006-Benzin,18.2
7,2006,0.001052386,Benzin,1950,80.0,232900.7009,peugeot-307-2006-Benzin,13.0
8,2006,0.001032522,Benzin,1875,108.0,327102.8037,mazda-6-2006-Benzin,12.8
9,2006,0.001028947,Benzin,1650,79.0,204432.243,suzuki-liana-2006-Benzin,14.5
10,2006,0.001013453,Benzin,1475,73.0,151862.1495,suzuki-ignis-2006-Benzin,15.4
11,2006,0.000995973,Benzin,1450,55.0,169382.0093,peugeot-206-2006-Benzin,15.6
12,2006,0.000962204,Diesel,2455,165.0,635396.028,audi-a6-2006-Diesel,15.6
13,2006,0.000925258,Benzin,1925,107.0,329380.8411,ford-mondeo-2006-Benzin,11.0
14,2006,0.000892284,Diesel,2025,80.0,318914.7196,peugeot-407-2006-Diesel,18.2
15,2006,0.000884338,Benzin,2100,130.0,1176488.318,audi-a6-2006-Benzin,10.4
16,2006,0.000845008,Benzin,1440,51.0,213572.4299,toyota-yaris-2006-Benzin,16.7
17,2006,0.000818787,Benzin,1350,45.0,123831.7757,kia-picanto-2006-Benzin,20.4
18,2006,0.000782635,Benzin,1825,66.0,273586.4486,opel-astra-2006-Benzin,15.9
19,2006,0.000763566,Benzin,1550,59.0,151751.1682,ford-fiesta-2006-Benzin,16.1
20,2006,0.000760388,Diesel,1825,80.0,232900.7009,peugeot-307-2006-Diesel,20.0
21,2006,0.00074251,Benzin,2050,120.0,318914.7196,peugeot-407-2006-Benzin,12.1
22,2006,0.000726619,Benzin,1825,74.0,252219.6262,ford-focus-2006-Benzin,15.1
23,2006,0.000701591,Benzin,1190,50.0,144848.1308,peugeot-107-2006-Benzin,21.7
24,2006,0.000686494,Diesel,1525,50.0,169382.0093,peugeot-206-2006-Diesel,22.7
25,2006,0.000667822,Benzin,1950,114.0,365832.9439,opel-vectra-2006-Benzin,13.7
26,2006,0.000633259,Benzin,2090,147.0,425296.729,audi-a4-2006-Benzin,10.9
27,2006,0.000610614,Diesel,2025,0.0,329380.8411,ford-mondeo-2006-Diesel,16.1
28,2006,0.000590353,Benzin,1200,50.0,147075.9346,toyota-aygo-2006-Benzin,21.7
29,2006,0.000588764,Diesel,1700,51.0,179901.8692,skoda-fabia-2006-Diesel,21.7
30,2006,0.000540694,Benzin,1670,65.0,197422.8972,peugeot-207-2006-Benzin,14.3
31,2006,0.000535132,Benzin,1425,80.0,182761.6822,mitsubishi-colt-2006-Benzin,18.2
32,2006,0.000534735,Diesel,2000,80.0,252219.6262,ford-focus-2006-Diesel,20.8
33,2006,0.000533543,Benzin,1585,66.0,158919.3925,opel-corsa-2006-Benzin,16.1
34,2006,0.00049461,Benzin,1800,75.0,294391.3551,skoda-octavia-2006-Benzin,13.8
35,2006,0.000481499,Benzin,1800,110.0,331744.1589,audi-a3-2006-Benzin,13.8
36,2006,0.000480308,Benzin,1300,44.0,122651.8692,fiat-panda-2006-Benzin,17.9
37,2006,0.000466403,Diesel,1525,64.0,213572.4299,toyota-yaris-2006-Diesel,22.2
38,2006,0.00045806,Benzin,1275,51.0,116702.1028,ford-ka-2006-Benzin,16.9
39,2006,0.000457266,Benzin,1800,90.0,204432.243,hyundai-matrix-2006-Benzin,13.7
40,2006,0.000454485,Diesel,1700,50.0,197422.8972,peugeot-207-2006-Diesel,22.2
41,2006,0.000446936,Benzin,2100,103.0,549759.3458,volvo-v70-2006-Benzin,10.2
42,2006,0.000437004,Benzin,1850,85.0,262850.4673,nissan-primera-2006-Benzin,13.5
43,2006,0.000412373,Diesel,1975,110.0,403349.2991,toyota-avensis-2006-Diesel,17.5
44,2006,0.000408798,Benzin,1765,89.0,233640.1869,chevrolet-nubira-2006-Benzin,13.3
45,2006,0.000397277,Diesel,2080,103.0,425296.729,audi-a4-2006-Diesel,17.2
46,2006,0.000394496,Benzin,1700,110.0,256632.0093,mazda-3-2006-Benzin,12.2
47,2006,0.000383372,Benzin,1900,92.0,379082.9439,volvo-v50-2006-Benzin,13.7
48,2006,0.00037344,Benzin,1475,48.0,165629.6729,nissan-micra-2006-Benzin,16.9
49,2006,0.000362316,Benzin,2125,119.0,280367.9907,hyundai-sonata-2006-Benzin,12.5
50,2006,0.000358344,Benzin,1855,77.0,279398.3645,opel-meriva-2006-Benzin,15.6
51,2006,0.000352782,Benzin,1750,103.0,315359.8131,honda-civic-2006-Benzin,15.2
52,2006,0.000330137,Benzin,1580,71.0,157705.6075,kia-rio-2006-Benzin,16.1
53,2006,0.000291204,Benzin,2175,77.0,416328.271,opel-zafira-2006-Benzin,12.8
54,2006,0.000249887,Diesel,2195,88.0,416328.271,opel-zafira-2006-Diesel,13.8
55,2006,0.00024512,Benzin,1904,75.0,256998.8318,seat-leon-2006-Benzin,13.2
56,2006,0.000237174,Benzin,1600,79.0,233630.8411,suzuki-sx4-2006-Benzin,14.7
57,2006,0.000199433,Benzin,1455,69.0,142516.3551,chevrolet-kalos-2006-Benzin,15.2
58,2006,0.000196652,Benzin,1600,74.0,239484.8131,ford-fusion-2006-Benzin,13.2
59,2006,0.000195063,Benzin,1800,92.0,348125.0,volvo-s40-2006-Benzin,13.9
60,2006,0.000188309,Diesel,1875,66.0,193022.1963,peugeot-partner-2006-Diesel,18.5
61,2006,0.000186323,Diesel,2150,103.0,280367.9907,hyundai-sonata-2006-Diesel,16.4
62,2006,0.000184336,Diesel,1835,59.0,273586.4486,opel-astra-2006-Diesel,16.7
63,2006,0.000178377,Diesel,2005,77.0,313400.7009,seat-altea-2006-Diesel,18.3
64,2006,0.000176788,Benzin,1275,38.0,124992.9907,chevrolet-matiz-2006-Benzin,19.2
65,2006,0.000172021,Diesel,2990,171.0,1155310.748,audi-q7-2006-Diesel,9.5
66,2006,0.000161294,Benzin,1550,63.0,168212.6168,seat-ibiza-2006-Benzin,15.4
67,2006,0.0001605,Diesel,2000,88.0,365832.9439,opel-vectra-2006-Diesel,17.5
68,2006,0.000159705,Diesel,1855,77.0,331744.1589,audi-a3-2006-Diesel,18.2
69,2006,0.000154541,Benzin,1546,81.0,244511.6822,nissan-note-2006-Benzin,15.2
70,2006,0.000153746,Benzin,1650,70.0,186910.0467,chevrolet-lacetti-2006-Benzin,13.9
71,2006,0.000130307,Benzin,2000,125.0,568925.2336,volvo-s60-2006-Benzin,11.4
72,2006,0.000130307,Diesel,1875,77.0,256998.8318,seat-leon-2006-Diesel,17.9
73,2006,0.000125539,Diesel,2600,136.0,1051865.654,volvo-xc90-2006-Diesel,11.1
74,2006,0.000125539,Diesel,1850,81.0,204432.243,hyundai-matrix-2006-Diesel,19.2
75,2006,0.000117991,Benzin,1850,0.0,193022.1963,peugeot-partner-2006-Benzin,13.3
76,2006,9.97e-05,Diesel,2175,136.0,549759.3458,volvo-v70-2006-Diesel,12.7
77,2006,9.02e-05,Benzin,1985,115.0,327096.9626,chevrolet-epica-2006-Benzin,12.2
78,2006,8.58e-05,Benzin,1925,140.0,431017.5234,honda-accord-2006-Benzin,11.1
79,2006,8.46e-05,Benzin,1925,75.0,313400.7009,seat-altea-2006-Benzin,12.9
80,2006,7.83e-05,Benzin,2050,104.0,312471.9626,hyundai-tucson-2006-Benzin,12.5
